Tue Jun 13 09:56:11 2017
<nugget>       2.5
<sill>         10.5
<range>        1200
<input file>   .\data\TestData.csv
<output file>  TestData.out

------------------------------------------------------------------------------------------------------------
     Well_ID           X           Y           Z       Count        Zhat        Kstd        Zeta      pValue
------------------------------------------------------------------------------------------------------------
      231504      356452     5092952      388.80          72      391.19        2.48       -0.96       0.167
      505638      356477     5092891      388.68          72      391.32        2.46       -1.07       0.142
      356280      355056     5092739      385.87          73      392.72        2.57       -2.67       0.004
      274251      355474     5092596      391.18          72      393.09        2.70       -0.71       0.240
      817562      355494     5092570      393.46          72      393.27        2.71        0.07       0.472
      720367      355810     5092480      394.22          73      394.20        2.94        0.01       0.498
      518077      354593     5092404      392.88          73      391.73        2.46        0.47       0.319
      880106      354613     5092340      389.80          73      393.94        2.45       -1.69       0.046
      232349      356299     5092242      394.77          73      395.08        2.63       -0.12       0.453
      129959      356413     5092268      394.95          73      394.78        2.62        0.07       0.474
      387883      355280     5092210      393.80          72      394.48        2.65       -0.26       0.399
      636261      356896     5092108      394.38          73      396.45        2.35       -0.88       0.189
      604802      356984     5092143      400.41          73      394.56        2.40        2.44       0.007
      826550      356956     5092055      393.34          73      397.37        2.32       -1.74       0.041
      631765      355773     5091947      397.73          73      395.16        3.07        0.84       0.201
      874922      354068     5091785      398.03          73      398.96        2.98       -0.31       0.378
      383823      357258     5091739      401.66          73      399.02        2.61        1.01       0.155
      743002      354322     5091700      403.86          73      397.02        2.86        2.39       0.008
      513630      357108     5091713      397.27          73      400.58        2.44       -1.35       0.088
      830187      357055     5091589      402.33          73      399.34        2.43        1.23       0.109
      871025      357269     5091528      403.61          73      400.28        2.49        1.33       0.091
      760815      357134     5091500      401.87          73      401.07        2.41        0.33       0.370
      783804      354252     5091329      400.56          73      398.69        2.61        0.72       0.237
      523839      357348     5091262      398.37          73      399.96        2.46       -0.65       0.259
      899879      354444     5091299      397.61          73      398.94        2.69       -0.50       0.310
      138196      355731     5091141      394.80          72      395.02        2.30       -0.09       0.462
      408816      355736     5091176      394.62          72      395.07        2.34       -0.19       0.424
      346790      354297     5091170      399.22          73      398.28        2.67        0.35       0.363
      741620      355306     5091163      395.08          73      395.21        2.81       -0.05       0.481
      365253      355674     5091161      394.35          73      394.95        2.24       -0.27       0.395
      216754      357429     5091234      399.86          73      398.38        2.54        0.58       0.279
      553322      356099     5090755      393.43          73      395.43        2.02       -0.99       0.162
      211614      356079     5090655      392.67          72      395.45        2.17       -1.28       0.101
      769438      356108     5090698      393.67          71      394.59        2.05       -0.45       0.326
      579745      356108     5090700      397.09          71      394.60        2.05        1.21       0.112
      207883      356088     5090659      392.76          70      395.59        2.35       -1.20       0.115
      187440      356747     5090656      397.91          73      397.50        3.12        0.13       0.448
      366243      356253     5090481      399.04          73      396.32        2.66        1.02       0.154
      418194      355945     5090333      393.19          73      396.06        2.73       -1.05       0.146
      279491      356308     5090204      399.86          73      397.96        2.54        0.75       0.227
      442989      354335     5090043      399.89          73      395.86        3.29        1.23       0.110
      473322      356466     5090007      401.39          72      397.95        2.82        1.22       0.112
      400993      356274     5090073      398.76          73      398.24        2.54        0.20       0.419
      866402      356502     5089983      394.59          72      397.79        2.91       -1.10       0.136
      636064      355175     5089923      394.28          73      396.19        2.68       -0.71       0.237
      571861      355324     5089757      396.54          73      395.73        2.56        0.32       0.376
      456464      355487     5093140      391.76          73      393.77        2.96       -0.68       0.249
      723551      354920     5092828      392.43          73      390.66        2.72        0.65       0.257
      554407      355191     5092984      392.31          73      392.13        2.58        0.07       0.473
      526508      355242     5092840      392.28          73      391.16        2.33        0.48       0.315
      252771      355348     5092868      391.91          72      392.18        2.46       -0.11       0.456
      632663      355348     5092868      391.91          72      392.18        2.46       -0.11       0.456
      321894      355346     5092395      393.47          73      393.18        2.55        0.11       0.454
      855323      355071     5091900      394.08          73      395.59        2.54       -0.60       0.275
      420572      355151     5092012      396.30          73      394.28        2.53        0.80       0.212
      419971      355284     5092239      394.17          72      394.30        2.63       -0.05       0.481
      433935      355141     5091465      394.84          73      395.16        2.29       -0.14       0.445
      299933      355058     5091518      395.39          73      395.21        2.38        0.07       0.471
      546825      355167     5091729      394.99          73      395.24        2.62       -0.09       0.462
      627903      355086     5091418      394.81          73      395.35        2.32       -0.23       0.408
      703456      355890     5091076      395.87          73      395.28        2.57        0.23       0.409
      423668      356263     5090793      397.82          73      396.53        2.48        0.52       0.301
      439433      356151     5090747      396.45          73      395.41        2.06        0.51       0.306
      275847      356106     5090831      395.60          73      395.55        2.18        0.02       0.492
      660381      355632     5090724      394.87          71      394.83        2.64        0.01       0.494
      208682      355255     5090828      395.48          73      395.42        2.80        0.02       0.491
      425165      355632     5090724      394.87          71      394.83        2.64        0.01       0.494
      350041      355769     5090805      394.87          73      394.72        2.51        0.06       0.476
      647119      356127     5090937      396.70          73      396.00        2.46        0.28       0.389
      325302      355632     5090724      394.87          71      394.83        2.64        0.01       0.494
      668144      355288     5090570      395.39          73      395.44        2.87       -0.02       0.493
      684538      355846     5090103      395.60          73      395.54        2.88        0.02       0.492
      712016      355291     5089848      395.94          73      395.64        2.39        0.13       0.450
