A,B,C,D,Count,Zhat,Kstd,Zeta,pValue
00231504,356452,5092952,388.8000000000000114,72,391.1890807110004857,2.476531850219326092,-0.9646880619721862615,0.1673505382273388908
00505638,356477,5092891,388.6800000000000068,72,391.3224892497275391,2.464641782779469548,-1.072159560140012458,0.1418241853778685335
00356280,355056,5092739,385.8700000000000045,73,392.7153628884641421,2.567420899381215094,-2.666241008676827118,0.003835234114026475193
00274251,355474,5092596,391.1800000000000068,72,393.0928405409684956,2.702961830568995083,-0.7076831494012700841,0.2395710219680883268
00817562,355494,5092570,393.4599999999999795,72,393.2701348198389724,2.705913449639079538,0.07016676020673602576,0.472030465303330149
00720367,355810,5092480,394.2200000000000273,73,394.202465462256157,2.939326696055477139,0.005965494671756389235,0.4976201260674144589
00518077,354593,5092404,392.8799999999999955,73,391.7252461997986188,2.460116527160161493,0.4693898794844356681,0.3193954905209943629
00880106,354613,5092340,389.8000000000000114,73,393.9362577158334489,2.453746898409383093,-1.685690451005653845,0.04592771853115660413
00232349,356299,5092242,394.7699999999999818,73,395.0808766497751776,2.625276776526758393,-0.1184167142126955757,0.4528687414645993781
00129959,356413,5092268,394.9499999999999886,73,394.778624592049141,2.621784585316926819,0.0653659377321159224,0.4739413219047993175
00387883,355280,5092210,393.8000000000000114,72,394.4768143266214793,2.650870141592293283,-0.2553177977307206081,0.3992388273812470523
00636261,356896,5092108,394.3799999999999955,73,396.4461677881498645,2.345305394041047098,-0.8809802737842111764,0.1891642484602208962
00604802,356984,5092143,400.410000000000025,73,394.5559807589467596,2.40060819812573234,2.438556714762439626,0.007373022283003294319
00826550,356956,5092055,393.339999999999975,73,397.3725196781408613,2.320926128092833718,-1.737461450983153188,0.04115287631991273315
00631765,355773,5091947,397.7300000000000182,73,395.1619719211690835,3.068930524943653815,0.8367827352097142457,0.2013573518196348777
00874922,354068,5091785,398.0299999999999727,73,398.9585331286402266,2.977795460203451317,-0.3118189751611797345,0.3775890512244310382
00383823,357258,5091739,401.660000000000025,73,399.0153230324951323,2.605969744052092363,1.014853289659692459,0.1550878835089646302
00743002,354322,5091700,403.8600000000000136,73,397.0249520125751701,2.857774304953444755,2.391738205350051771,0.008384399289787292098
00513630,357108,5091713,397.2699999999999818,73,400.576972400931993,2.441396934986843625,-1.354541063577534121,0.08778191091942490198
00830187,357055,5091589,402.3299999999999841,73,399.3368885749964647,2.427070309578657437,1.233219908459564751,0.1087468648340630395
00871025,357269,5091528,403.6100000000000136,73,400.2802484381594468,2.494938103182750666,1.334602873551395286,0.09100317852326500478
00760815,357134,5091500,401.8700000000000045,73,401.0694365302401252,2.407502548328064762,0.3325286074217639332,0.3697450709457483775
00783804,354252,5091329,400.5600000000000023,73,398.6874889503931172,2.614040363579024362,0.7163282846341090249,0.2368943328615435995
00523839,357348,5091262,398.3700000000000045,73,399.9604728207827975,2.462973201861419881,-0.6457531976315353806,0.2592196012963499663
00899879,354444,5091299,397.6100000000000136,73,398.9448264166043714,2.68595327424251229,-0.4969656134397211766,0.3096066502011346477
00138196,355731,5091141,394.8000000000000114,72,395.0175656337259511,2.300820414618476306,-0.09456002404343087642,0.462332151846217454
00408816,355736,5091176,394.6200000000000045,72,395.0689895194611267,2.337194551891319971,-0.1921061809329428494,0.4238295167019920373
00346790,354297,5091170,399.2200000000000273,73,398.2844179322847253,2.672586469598809522,0.3500661544005141956,0.363144525311583366
00741620,355306,5091163,395.0799999999999841,73,395.2138346438364351,2.809801031748588418,-0.0476313597739564526,0.4810050194503126542
00365253,355674,5091161,394.3500000000000227,73,394.9475136956767756,2.244315429550464813,-0.2662342769690063116,0.3950293930628050454
00216754,357429,5091234,399.8600000000000136,73,398.3753399005435085,2.539283257937967608,0.5846768354083221597,0.2793825163718558491
00553322,356099,5090755,393.4300000000000068,73,395.4294223092953757,2.023178973807007619,-0.9882577543464007297,0.1615132147375386018
00211614,356079,5090655,392.6700000000000159,72,395.4475381934015559,2.174604852346066597,-1.277261103508069651,0.1007550404906540353
00769438,356108,5090698,393.6700000000000159,71,394.5944701426415122,2.050864116360915812,-0.4507710361044738878,0.3260772892299027004
00579745,356108,5090700,397.089999999999975,71,394.6021515274337617,2.048258045802869187,1.214616721591363246,0.1122561541028034293
00207883,356088,5090659,392.7599999999999909,70,395.5852082740257174,2.354423562700698636,-1.1999575262426454,0.1150779182432796893
00187440,356747,5090656,397.910000000000025,73,397.5012672080759444,3.120116335870457114,0.1309992153898490441,0.447887964042314568
00366243,356253,5090481,399.0400000000000205,73,396.3198493803977271,2.663049005427801319,1.021442194288617378,0.1535224915614366026
00418194,355945,5090333,393.1899999999999977,73,396.0629990696880895,2.731133709785403152,-1.051943762179932129,0.1464126761211258509
