     Well_ID           X           Y           Z       Count        Zhat        Kstd        Zeta      pValue
      231504      356452     5092952      388.80          71      395.14        3.31       -1.91       0.028
      505638      356477     5092891      388.68          71      395.20        3.27       -2.00       0.023
      356280      355056     5092739      385.87          73      392.37        2.23       -2.92       0.002
      274251      355474     5092596      391.18          72      392.69        2.35       -0.64       0.260
      817562      355494     5092570      393.46          72      392.88        2.36        0.24       0.404
      720367      355810     5092480      394.22          73      393.58        2.63        0.24       0.404
      518077      354593     5092404      392.88          72      394.75        2.98       -0.63       0.266
      880106      354613     5092340      389.80          72      395.00        2.96       -1.76       0.039
      232349      356299     5092242      394.77          73      394.92        2.32       -0.07       0.474
      129959      356413     5092268      394.95          73      394.48        2.31        0.20       0.420
      387883      355280     5092210      393.80          72      394.27        2.31       -0.20       0.419
      636261      356896     5092108      394.38          71      396.76        2.85       -0.83       0.202
      604802      356984     5092143      400.41          71      396.82        2.90        1.24       0.108
      826550      356956     5092055      393.34          71      397.22        2.81       -1.38       0.084
      631765      355773     5091947      397.73          73      394.99        2.83        0.97       0.167
      874922      354068     5091785      398.03          73      400.17        2.80       -0.76       0.222
      383823      357258     5091739      401.66          73      399.50        2.30        0.94       0.174
      743002      354322     5091700      403.86          73      397.16        2.54        2.64       0.004
      513630      357108     5091713      397.27          73      400.86        2.11       -1.70       0.045
      830187      357055     5091589      402.33          73      399.58        2.12        1.30       0.097
      871025      357269     5091528      403.61          73      400.67        2.16        1.36       0.087
      760815      357134     5091500      401.87          73      401.35        2.09        0.25       0.402
      783804      354252     5091329      400.56          73      399.26        2.29        0.57       0.285
      523839      357348     5091262      398.37          72      401.29        2.77       -1.05       0.146
      899879      354444     5091299      397.61          73      399.42        2.36       -0.77       0.221
      138196      355731     5091141      394.80          71      395.64        2.37       -0.35       0.361
      408816      355736     5091176      394.62          71      395.72        2.41       -0.45       0.325
      346790      354297     5091170      399.22          73      398.95        2.38        0.11       0.455
      741620      355306     5091163      395.08          73      395.08        2.46        0.00       0.500
      365253      355674     5091161      394.35          71      395.58        2.44       -0.50       0.307
      216754      357429     5091234      399.86          72      401.03        2.92       -0.40       0.345
      553322      356099     5090755      393.43          68      395.30        2.03       -0.92       0.179
      211614      356079     5090655      392.67          70      395.51        2.05       -1.38       0.083
      769438      356108     5090698      393.67          68      396.49        2.14       -1.32       0.094
      579745      356108     5090700      397.09          68      396.48        2.13        0.28       0.388
      207883      356088     5090659      392.76          69      396.33        2.10       -1.70       0.045
      187440      356747     5090656      397.91          73      398.78        2.96       -0.29       0.385
      366243      356253     5090481      399.04          73      396.41        2.31        1.14       0.127
      418194      355945     5090333      393.19          73      395.98        2.38       -1.17       0.120
      279491      356308     5090204      399.86          73      398.10        2.20        0.80       0.212
      442989      354335     5090043      399.89          73      396.24        3.53        1.03       0.151
      473322      356466     5090007      401.39          72      398.73        2.59        1.03       0.152
      400993      356274     5090073      398.76          73      398.37        2.21        0.18       0.429
      866402      356502     5089983      394.59          72      398.67        2.71       -1.50       0.066
      636064      355175     5089923      394.28          73      396.38        2.38       -0.88       0.189
      571861      355324     5089757      396.54          72      395.19        2.70        0.50       0.308
      456464      355487     5093140      391.76          73      392.49        2.75       -0.26       0.396
      723551      354920     5092828      392.43          73      389.58        2.42        1.18       0.120
      554407      355191     5092984      392.31          73      391.57        2.25        0.33       0.371
      526508      355242     5092840      392.28          73      390.97        2.01        0.65       0.257
      252771      355348     5092868      391.91          72      391.83        2.13        0.04       0.485
      632663      355348     5092868      391.91          72      391.83        2.13        0.04       0.485
      321894      355346     5092395      393.47          73      392.94        2.20        0.24       0.405
      855323      355071     5091900      394.08          73      395.54        2.21       -0.66       0.254
      420572      355151     5092012      396.30          73      394.12        2.19        1.00       0.160
      419971      355284     5092239      394.17          72      394.08        2.29        0.04       0.485
      433935      355141     5091465      394.84          71      395.68        2.51       -0.33       0.370
      299933      355058     5091518      395.39          72      395.32        2.17        0.03       0.486
      546825      355167     5091729      394.99          73      395.22        2.28       -0.10       0.461
      627903      355086     5091418      394.81          72      395.62        2.21       -0.37       0.357
      703456      355890     5091076      395.87          73      395.26        2.22        0.27       0.392
      423668      356263     5090793      397.82          73      396.68        2.15        0.53       0.298
      439433      356151     5090747      396.45          69      395.46        1.97        0.50       0.308
      275847      356106     5090831      395.60          71      395.90        1.97       -0.15       0.440
      660381      355632     5090724      394.87          71      394.58        2.30        0.13       0.450
      208682      355255     5090828      395.48          73      395.36        2.47        0.05       0.481
      425165      355632     5090724      394.87          71      394.58        2.30        0.13       0.450
      350041      355769     5090805      394.87          73      394.57        2.16        0.14       0.445
      647119      356127     5090937      396.70          73      396.08        2.14        0.29       0.387
      325302      355632     5090724      394.87          71      394.58        2.30        0.13       0.450
      668144      355288     5090570      395.39          73      395.31        2.56        0.03       0.487
      684538      355846     5090103      395.60          73      395.45        2.57        0.06       0.477
      712016      355291     5089848      395.94          72      394.97        2.45        0.39       0.347
